framework,accuracy_score,average_precision_score,balanced_accuracy_score,cohen_kappa_score,f1_score_macro,f1_score_micro,f1_score_weighted,matthews_corrcoef,precision_score,recall_score,roc_auc_score,coverage_error,label_ranking_average_precision_score,label_ranking_loss,training_time,test_time
autokeras,0.193,0.461,-1.000,-1.000,0.456,0.512,0.479,-1.000,-1.000,-1.000,0.649,5.034,0.623,0.560,00:00:27,00:00:00
autosklearn,0.311,0.595,-1.000,-1.000,0.672,0.696,0.676,-1.000,-1.000,-1.000,0.769,4.101,0.664,0.400,00:12:06,00:00:01
