framework,accuracy_score,average_precision_score,balanced_accuracy_score,cohen_kappa_score,f1_score_macro,f1_score_micro,f1_score_weighted,matthews_corrcoef,precision_score,recall_score,roc_auc_score,training_time,test_time
autogluon,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,00:00:09,00:00:00
autokeras,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,00:00:39,00:00:00
autopytorch,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,00:11:43,00:10:40
autosklearn,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,00:20:00,00:00:00
evalml,0.975,0.970,0.972,0.949,0.974,0.975,0.974,0.950,1.000,0.945,0.972,00:10:00,00:00:00
flaml,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,00:10:00,00:00:00
gama,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,00:09:00,00:00:00
h2o,0.640,0.559,0.617,0.244,0.590,0.640,0.601,0.298,0.769,0.315,0.617,00:10:05,00:00:00
lightautoml,0.538,0.462,0.500,0.000,0.350,0.538,0.377,0.000,0.000,0.000,0.500,00:00:15,00:00:00
tpot,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,00:10:00,00:00:00
