,Framework,Rank_F1,Rank_Time
0,autosklearn,1.0,2.857142857142857
1,fedot,2.3333333333333335,4.0
2,autokeras,2.7142857142857144,1.2857142857142858
3,autogluon,3.7142857142857144,1.8571428571428572
