framework,accuracy_score,average_precision_score,balanced_accuracy_score,cohen_kappa_score,f1_score_macro,f1_score_micro,f1_score_weighted,matthews_corrcoef,precision_score,recall_score,roc_auc_score,training_time,test_time
autogluon,0.695,-1.000,0.640,0.679,0.563,0.695,0.686,0.680,-1.000,-1.000,-1.000,00:00:24,00:00:00
autokeras,0.630,-1.000,0.605,0.612,0.523,0.630,0.619,0.614,-1.000,-1.000,-1.000,00:00:12,00:00:00
autosklearn,0.721,-1.000,0.656,0.707,0.583,0.721,0.719,0.709,-1.000,-1.000,-1.000,00:10:03,00:00:00
flaml,0.662,-1.000,0.622,0.646,0.520,0.662,0.660,0.647,-1.000,-1.000,-1.000,00:09:59,00:00:00
h2o,0.227,-1.000,0.125,0.174,0.062,0.227,0.112,0.198,-1.000,-1.000,-1.000,00:10:19,00:00:00
tpot,0.708,-1.000,0.652,0.693,0.590,0.708,0.706,0.695,-1.000,-1.000,-1.000,00:10:09,00:00:00
