framework,accuracy_score,average_precision_score,balanced_accuracy_score,cohen_kappa_score,f1_score_macro,f1_score_micro,f1_score_weighted,matthews_corrcoef,precision_score,recall_score,roc_auc_score,coverage_error,label_ranking_average_precision_score,label_ranking_loss,training_time,test_time
autokeras,0.645,0.399,-1.000,-1.000,0.550,0.703,0.692,-1.000,-1.000,-1.000,0.733,3.130,0.753,0.302,00:03:06,00:00:11
autosklearn,0.642,0.511,-1.000,-1.000,0.634,0.765,0.748,-1.000,-1.000,-1.000,0.768,3.062,0.730,0.314,00:10:16,00:00:06
